,MCF_UUID,Job_title,Relabelled_SSOC_2020,Description,Cleaned_Description,UUID,MCF_ID,emp_SSOC,pred_SSOC,Emp_correct,Model_correct,1D_SSOC
0,6f30f4d3a4ae317fd81ba76987584ffd,Senior Product Manager,12211,"<p>Responsibilities:</p>
<ol>
  <li>Responsible for product design and planning, draft PRD requirements and interactive documents, and design product roadmap</li>
  <li>Play a key role in the definition and evolution of the product vision and overall strategy</li>
  <li>Responsible for user feedback, product competition analysis, market research, and maintaining the product's competitive advantage</li>
  <li>Responsible for cross-functional and cross-department communication and coordination to ensure product quality and progress, and complete related product goals</li>
  <li>Support related business needs and achieves business goals with internal and external partners</li>
</ol>
<p>Requirements:</p>
<ol>
  <li>Full-time enrollment of master’s degree or above, working experience in mainstream Internet companies is preferred, technical expertise preferred</li>
  <li>Systematic front-end product working experience is must with deep sensitivity with data</li>
  <li>More than 6 years working experience in Internet products, has experience with independently product design and implementation of complicated business</li>
  <li>Has good product design methodology, has 0-1 product design experiences is must</li>
  <li>Has industry vision, good collaboration and communication ability, strong learning ability and stress resistance ability</li>
  <li>Better to have leading team experience</li>
</ol>","Responsible for product design and planning, draft PRD requirements and interactive documents, and design product roadmap. Play a key role in the definition and evolution of the product vision and overall strategy. Responsible for user feedback, product competition analysis, market research, and maintaining the product's competitive advantage. Responsible for cross-functional and cross-department communication and coordination to ensure product quality and progress, and complete related product goals. Support related business needs and achieves business goals with internal and external partners.",6f30f4d3a4ae317fd81ba76987584ffd,MCF-2021-0235847,13210,12212,False,False,1
1,1e76166a96800144e296e6efd2a5fab9,Digital Marketing Manager,12211,"<h4>Job Description</h4>
<p>Requirements:</p>
<ul>
  <li>A marketing, communications, or analytical background</li>
  <li>Very good analytical skills and a creative mind</li>
  <li>A drive to be collaborative and also able to carry out tasks independently and deliver timely results</li>
  <li>Ability to communicate effectively and confidently at all levels</li>
  <li>Proficiency with Excel (Pivot Table, Filter, Formulas)</li>
  <li>Proven experience with digital marketing techniques such as social media, video, content and email marketing.</li>
</ul>
<p>Responsibilities:</p>
<ul>
  <li>Maintain and drive engagement of various social media channels (Facebook, Instagram, Twitter, LinkedIn, Whatsapp, etc.)</li>
  <li>Brainstorm creative marketing ideas to execute social and email content strategies</li>
  <li>Manage budgets for social and digital activities and ensure that it is within the budget in a cost-effective way to drive ROI.</li>
</ul>","Job Description Requirements: A marketing, communications, or analytical background Very good analytical skills and a creative mind A drive to be collaborative and also able to carry out tasks independently and deliver timely results Ability to communicate effectively and confidently at all levels Proficiency with Excel (Pivot Table, Filter, Formulas) Proven experience with digital marketing techniques such as social media, video, content and email marketing. Responsibilities: Maintain and drive engagement of various social media channels (Facebook, Instagram, Twitter, LinkedIn, Whatsapp, etc.) Brainstorm creative marketing ideas to execute social and email content strategies Manage budgets for social and digital activities and ensure that it is within the budget in a cost-effective way to drive ROI.",1e76166a96800144e296e6efd2a5fab9,MCF-2021-0097946,13302,12222,False,False,1
2,49c451b0437826a1628afb04fe963a79,VP Engineering,11203,"<ul>
  <li>Build and scale a high-performing team through effective hiring, coaching, and development.</li>
  <li>Manage and deliver to KPIs such as estimated to actual, bugs in production, downtime in minutes, response time etc.</li>
  <li>Develop goals, roadmaps, and delivery dates to help with scale quickly and sustainably.</li>
  <li>Provide hands on technical oversight for the development, quality and dev ops team to drive delivery culture.</li>
  <li>Represent Engineering in setting company strategy and goals, and growing your team as needed.</li>
</ul>
<p>Who you are.</p>
<ul>
  <li>Minimum 10+ years experience in web application engineering with a track record of successful deliveries.</li>
  <li>5+ years of experience managing engineering teams, preferably in a high-growth start-up environment.</li>
  <li>Deep knowledge of and experience with multi-tenant SaaS application architecture.</li>
  <li>Exceptional communication skills, with the ability to influence &amp; lead at a company level.</li>
  <li>Very strong critical thinking and analysis skills, with the ability to manage multiple projects and priorities while maintaining focus on long-term company goals.</li>
</ul>","Build and scale a high-performing team through effective hiring, coaching, and development. Manage and deliver to KPIs such as estimated to actual, bugs in production, downtime in minutes, response time etc. Develop goals, roadmaps, and delivery dates to help with scale quickly and sustainably. Provide hands on technical oversight for the development, quality and dev ops team to drive delivery culture. Represent Engineering in setting company strategy and goals, and growing your team as needed.",49c451b0437826a1628afb04fe963a79,MCF-2020-0364615,11202,25232,False,False,1
3,bdb0bdd20574d98c7be5acf3515a99f6,Data & Analytics Manager,13499,"<p><strong>Applies advanced statistical and predictive modeling techniques to build, maintain, and improve L’Oréal databases and CRM. Work alongside business to answer its requirements and expected outcomes.</strong></p>
<p>Identify Business Needs<br>
• Work with brand stakeholders to identify the business requirements and analytics problems to solve.<br>
• Develop innovative and effective approaches based on business analysis, data analysis, data modelling, statistical analysis and predictive modelling.</p>
<p>Build data analysis solutions<br>
• Design experiments, test hypotheses and build models.<br>
• Conduct data analysis and designs convenient algorithms.<br>
• Identify, analyze, and interpret trends or patterns in complex data sets<br>
• Present and depict the outcomes of their finding in easy to understand terms for the business stakeholders.</p>
<p>Ensure Data Collection, Quality and retention<br>
• Collaborates with CRM manager and Digital Marketing Manager to select the relevant sources of information (primary or secondary data sources, strategic approach…).<br>
• Works with Digital IT teams to support data collection, integration and retention based on the input collected with the Digital Marketing and CRM Managers.<br>
• Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality</p>","Applies advanced statistical and predictive modeling techniques to build, maintain, and improve L'Oréal databases and CRM. Work alongside business to answer its requirements and expected outcomes. Identify Business Needs. Work with brand stakeholders to identify the business requirements and analytics problems to solve. Develop innovative and effective approaches based on business analysis, data analysis, data modelling, statistical analysis and predictive modelling. Build data analysis solutions. Design experiments, test hypotheses and build models. Conduct data analysis and designs convenient algorithms. Identify, analyze, and interpret trends or patterns in complex data sets. Present and depict the outcomes of their finding in easy to understand terms for the business stakeholders. Ensure Data Collection, Quality and retention. Collaborates with CRM manager and Digital Marketing Manager to select the relevant sources of information (primary or secondary data sources, strategic approach…) Works with Digital IT teams to support data collection, integration and retention based on the input collected with the Digital Marketing and CRM Managers. Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality.",bdb0bdd20574d98c7be5acf3515a99f6,MCF-2021-0120570,21239,21231,False,False,1
4,11410bb063ec2929160785cf10018c6d,Preschool / Childcare Principal [DPT / Early childhood / Islandwide / Up to $5000] 5859,11202,"<p><strong>Requirements:</strong></p>
<ul>
  <li>Possess with Diploma or Degree in Early Childhood Care &amp; Eductaion</li>
  <li>DPT L1 / L2 // Principal role must have DPT - Leadership </li>
  <li>Min 1 - 2 years experiences in related field</li>
</ul>
<p><strong>Responsibilities:</strong></p>
<ul>
  <li>Developing age-appropriate socialization skills in children.</li>
  <li>Encouraging positive behavior and good manners.</li>
  <li>Using various learning methods such as stories, games and drawing to intellectually stimulate children.</li>
  <li>Identifying behavioral problems and developing appropriate strategies to address them.</li>
  <li>Attending staff meetings, conferences, and workshops.</li>
  <li>Holding regular parent-teacher meetings to address any issues, concerns, or parent complaints.</li>
  <li>Providing a pleasant, safe, and sanitary environment.</li>
  <li>Communicating with parents and providing updates on children’s progress.</li>
</ul>","Developing age-appropriate socialization skills in children. Encouraging positive behavior and good manners. Using various learning methods such as stories, games and drawing to intellectually stimulate children. Identifying behavioral problems and developing appropriate strategies to address them. Attending staff meetings, conferences, and workshops. Holding regular parent-teacher meetings to address any issues, concerns, or parent complaints. Providing a pleasant, safe, and sanitary environment. Communicating with parents and providing updates on children's progress.",11410bb063ec2929160785cf10018c6d,MCF-2021-0224788,36100,36100,False,False,1
5,cf7f2fff8ee9ace0628d6cf3ed75f2bb,Business Development Assistant Manager,12212,"<p><strong>Job Description:</strong></p>
<p><br></p>
<p>-Help customer succeed with our robots and other deep-tech innovations</p>
<p>-Develop a quality pipeline with assigned institutions and companies.</p>
<p>-Manage and lead the sales process.</p>
<p>-Maintain an outbound visits.</p>
<p>-Generate recommendations and accelerate the sales cycle.</p>
<p>-Work with the marketing team to customize marketing activities per account.</p>
<p><br></p>
<p><br></p>
<p><strong>Requirements</strong></p>
<p><br></p>
<p>-Love robots, love deep tech, love technologies.</p>
<p>-Desire to be a superstar in the job.</p>
<p>-A Master/PhD degree (3 years of relevant experience preferred, but not mandatory).</p>
<p>-A drive to succeed and a proven ability to be resilient and overcome challenges.</p>
<p>-Highly effective verbal and written communication skills.</p>
<p>-A disciplined approach to daily activity planning, setting goals and achieving success.</p>
<p>-Critical problem-solving skills to handle customer questions.</p>
<p>-Aptitude to quickly learn new technologies.</p>
<p>-Able to travel regionally and internationally.</p>
<p><br></p>","Job Description:Help customer succeed with our robots and other deep-tech innovations.Develop a quality pipeline with assigned institutions and companies.Manage and lead the sales process.Maintain an outbound visits.Generate recommendations and accelerate the sales cycle.Work with the marketing team to customize marketing activities per account.Love robots, love deep tech, love technologies.Desire to be a superstar in the job.A Master/PhD degree (3 years of relevant experience preferred, but not mandatory)A drive to succeed and a proven ability to be resilient and overcome challenges.Highly effective verbal and written communication skills.A disciplined approach to daily activity planning, setting goals and achieving success.Critical problem-solving skills to handle customer questions.Aptitude to quickly learn new technologies.Able to travel regionally and internationally.",cf7f2fff8ee9ace0628d6cf3ed75f2bb,MCF-2021-0000016,12222,12212,False,True,1
6,4f307623d783963bc773016801ebce44,Chief IT Security Officer ,13301,"<p>CISO shall minimally attained CISSP and/or CISA certification with minimally five years of security related working experience.</p>
<p><strong>The scope of work for CISO shall minimally consist of the following</strong>:</p>
<p>1. Oversee all ICT Security related matters for all ATFM subscribed services in MHA agencies</p>
<p>2. Ensure that the audit trails and logging are turn on for all Customer’s equipment</p>
<p>3. Report any security violation attempts (actual or potential) or anomaly immediately to the attention of the Customer</p>
<p>4. Review all P1 incidents to check for security related matters that occurred in MHA agencies</p>
<p>5. Ensure adequate security briefings and awareness amongst the ATFM staff</p>
<p>6. Review and optimise rules and objects under SG-EPP, NIPS and Firewalls</p>
<p>7. Review Macro and PowerShell scripts for MHA agencies</p>
<p>8. Manage the Certificates Usage, Inventory and Expiration.</p>
<p><strong>Work Responsibilities:</strong></p>
<p>1. CISO shall provide regular (minimally monthly) vulnerability and compliance assessment for all equipment supported.</p>
<p>2. CISO shall also promptly notify the Customer of any new vulnerability released by principal vendors or any security advisory that affects the Customer’s equipment.</p>
<p>3. CISO shall obtain the software updates and patches for all vulnerabilities from the equipment vendors.</p>
<p>4. CISO shall obtain conduct, when required by the Customer, security reviews, audits security scan and assessment exercises</p>","Oversee all ICT Security related matters for all ATFM subscribed services in MHA agencies. Ensure that the audit trails and logging are turn on for all Customer's equipment. Report any security violation attempts (actual or potential) or anomaly immediately to the attention of the Customer. Review all P1 incidents to check for security related matters that occurred in MHA agencies. Ensure adequate security briefings and awareness amongst the ATFM staff. Review and optimise rules and objects under SG-EPP, NIPS and Firewalls. Review Macro and PowerShell scripts for MHA agencies. Manage the Certificates Usage, Inventory and Expiration.",4f307623d783963bc773016801ebce44,MCF-2021-0091607,25241,25232,False,False,1
7,22ee7e305480ca92cb26b1f730374976,"Vice President - Corporate Banking Dept Asia Pacific Division, South Asia Group",11203,"<p>As part of a team member in our Corporate Banking Department, the incumbent will work with South Asia Desk for the following duties:-</p>
<ul>
  <li>To contribute towards client acquisition, provide client solutions and cross sell products to achieve department budget.</li>
  <li>Preparation of good quality credit application including spreading of annual financial results into GBR system for existing / potential customers.</li>
  <li>Make presentations to internal and external clients and prepare Term Sheets.</li>
  <li>Undertake preparation of annual credit reviews and ad-hoc monitoring of accounts.</li>
  <li>Execution of transactions including loan documentation, loan rollovers, deposit rate fixing, remittances, etc.</li>
  <li>Work with internal teams to provide seamless execution of deals</li>
  <li>Review / analyze other Head Office applications, when required</li>
  <li>Contribute to completion of KYC and other regulatory and compliance processes</li>
</ul>
<p>Requirements:</p>
<ul>
  <li>Bachelor's Degree in Banking, Finance, Accountancy or related discipline</li>
  <li>With 6-10 years of relevant work experience in corporate banking or commercial banking</li>
  <li>Proficiency in Indian language eg. Hindi is desirable as this role requires presenting and communicate to Indian corporate clients and counterparts whose main language is Hindi.</li>
  <li>Strong understanding of loan documentation, mainly syndicated loan</li>
  <li>Possess skills related to marketing, credit and compliance for clients</li>
  <li>Good communication skills</li>
  <li>Ability to mentor junior colleagues within the team, if required</li>
</ul>","To contribute towards client acquisition, provide client solutions and cross sell products to achieve department budget. Preparation of good quality credit application including spreading of annual financial results into GBR system for existing / potential customers. Make presentations to internal and external clients and prepare Term Sheets. Undertake preparation of annual credit reviews and ad-hoc monitoring of accounts. Execution of transactions including loan documentation, loan rollovers, deposit rate fixing, remittances, etc. Work with internal teams to provide seamless execution of deals. Review / analyze other Head Office applications, when required. Contribute to completion of KYC and other regulatory and compliance processes.",22ee7e305480ca92cb26b1f730374976,MCF-2021-0175500,12241,24121,False,False,1
8,b9fe5f57fbdb5c70b3653b5c5e4f252e,Finance / Human Resource #SGUNITEDJobs,12111,"<p>Helmsion Engineering is always on the lookout for talented professionals to join us, add value and ideas to our business. At the same time, Helmsion is keen to induct new blood and new talents. If you have what it takes to grow to become the future leader of Helmsion, you are welcome to apply:</p>
<p><br></p>
<p><u><strong>Finance / Admin Assistant</strong></u></p>
<p><br></p>
<p>· Issue, matching &amp; posting of invoices/debit &amp; credit notes/payment vouchers/cheques/trade documents/giro payments.</p>
<p>· Check payment vouchers, invoices, petty cash and payroll.</p>
<p>· Prepare Statement of accounts.</p>
<p>· Maintain Debtors &amp; Creditors Accounts.</p>
<p>· Prepare monthly aging reports.</p>
<p>· Review and manage monthly / yearly financial reports.</p>
<p>· Manage, monitor and analyze cash flow, manage the local bank activities and relationships.</p>
<p>· Ensure timely and accurate preparation and review of monthly, quarterly and annual financial and management reports in accordance to accounting standard.</p>
<p>· Capture and execute cost controls for all projects.</p>
<p>· Follow up and complete collection of outstanding balances.</p>
<p>· Prepare month-end closing and provide monthly financial reports on financial performance, together with variance analysis.</p>
<p>· Oversee and report on income &amp; expenses.</p>
<p>· Handle office admin duties.</p>
<p>· Any other ad-hoc duties as and when being assigned.</p>
<p><br></p>
<p><u><strong>Requirements</strong></u></p>
<p><br></p>
<p>· Diploma in Accountancy/ Finance/ Banking or equivalent</p>
<p>· Required skills: Finance and Accounting</p>
<p>· Conversant with Microsoft Office/ Excel &amp; Powerpoint</p>
<p>· Good interpersonal, communication and organizational skills</p>","Issue, matching & posting of invoices/debit & credit notes/payment vouchers/cheques/trade documents/giro payments. Check payment vouchers, invoices, petty cash and payroll. Prepare Statement of accounts. Maintain Debtors & Creditors Accounts. Prepare monthly aging reports. Review and manage monthly / yearly financial reports. Manage, monitor and analyze cash flow, manage the local bank activities and relationships. Ensure timely and accurate preparation and review of monthly, quarterly and annual financial and management reports in accordance to accounting standard. Capture and execute cost controls for all projects. Follow up and complete collection of outstanding balances. Prepare month-end closing and provide monthly financial reports on financial performance, together with variance analysis. Oversee and report on income & expenses. Handle office admin duties. Any other ad-hoc duties as and when being assigned.",b9fe5f57fbdb5c70b3653b5c5e4f252e,MCF-2021-0218545,43112,12112,False,False,1
9,8234db651b62334f6b6fa1b447f03922,"Sales Manager, Car Workshop",13499,"<p><strong>JOB RESPONSIBILITIES</strong></p>
<ul>
  <li>Monitor and oversee overall business and workshop activities.</li>
  <li>Actively seek out new sales opportunities and expand customer base.</li>
  <li>Customer relationship management, including but not limited to set up meetings with potential clients and listen to their concerns and expectations, prepare and deliver appropriate presentations on products and services, create frequent reviews and reports with sales and demonstrations, negotiate and close deals and handle complaints, gather feedback/survey from customers or prospects to share with management team.</li>
  <li>Plan, organize and coordinate the day-to-day running of the workshop, including but not limited to writing work orders and arranging technician/mechanic to perform maintenance and report work on vehicles.</li>
  <li>Ensure the necessary spare parts, materials and equipment are available or obtainable at short notice.</li>
  <li>Check the activities in the workshop, inspect completed work for compliance with safety and other statutory regulations, and ensure defects are repaired or adjusted.</li>
  <li>Perform and lead the customer</li>
  <li>Maintain and update summary of reports to Head Office.</li>
  <li>Any ad hoc or other general duties assigned by Head Office/Owner.</li>
</ul>
<p><br></p>
<p><strong>JOB REQUIREMENTS</strong></p>
<ul>
  <li>At least 5 year(s) of related working experience preferred.</li>
  <li>Sales-oriented &amp; service-oriented.</li>
  <li>Good interpersonal and communication skills.</li>
  <li>Must be meticulous, careful and detailed.</li>
  <li>Positive working attitude and willing to learn/share.</li>
  <li>Ability to work with minimum supervision.</li>
</ul>
<p><br></p>
<p>Please send your updated resume with recent photograph to:</p>
<p><strong>benisingapore70@gmail.com</strong></p>","Monitor and oversee overall business and workshop activities. Actively seek out new sales opportunities and expand customer base. Customer relationship management, including but not limited to set up meetings with potential clients and listen to their concerns and expectations, prepare and deliver appropriate presentations on products and services, create frequent reviews and reports with sales and demonstrations, negotiate and close deals and handle complaints, gather feedback/survey from customers or prospects to share with management team. Plan, organize and coordinate the day-to-day running of the workshop, including but not limited to writing work orders and arranging technician/mechanic to perform maintenance and report work on vehicles. Ensure the necessary spare parts, materials and equipment are available or obtainable at short notice. Check the activities in the workshop, inspect completed work for compliance with safety and other statutory regulations, and ensure defects are repaired or adjusted. Perform and lead the customer. Maintain and update summary of reports to Head Office. Any ad hoc or other general duties assigned by Head Office/Owner.",8234db651b62334f6b6fa1b447f03922,MCF-2021-0107470,14391,24212,False,False,1
