,SSOC,job_title,job_description,id,pred1,prob1,pred2,prob2,pred3,pred4,pred5
0,42241,Admin/Receptionist,"Handling telephone calls and enquiries. Attend to walking customers & collection of documents. Assist in stationery and office supplies. Assist in premises and equipment maintenance and liaison with contractors and service providers. Assist in general cleanliness and tidiness of premises, office and meeting rooms. Perform general admin duties and supports. Perform ad hoc assignment as and when required. Excellent communication skills, both written and verbal, phone etiquette. Well organized, meticulous and well versed in Microsoft Office applications. Preferrable in English and Mandarin to liaise with Mandarin speaking associates in view of business communications if any. Assist in ad-hoc assignments as required.5 days work week.",0,42241,0.99999857,42243, 1.2640741e-06,42245,42242,41101
1,51421,Beautician Supervisor,"Understand customer needs & skin condition, and recommend appropriate facial treatments. Perform facial treatments with excellent skill and service attitude. Provide beauty advice to customers and recommend appropriate skincare regimen. Supervise and motivate a team of beauticians to achieve sales targets. Efficiently manage stocks and supplies to ensure zero disruption to services. Conduct regular performance reviews on team members. Show good understanding of the business needs. Possess relevant ITEC, CIBTEC, CIDESCO, or NITEC beauty certifications. Min 3 years experience as a Facial Therapist at an established spa. Well groomed with a pleasant disposition and personality. Good communications and interpersonal skills, and service attitude. Effectively bilingual, with ability to handle English and Mandarin speaking customers. Able to work weekends and public holidays.",1,51421,oba': [1.0,51422, 7.8569185e-21,51491,53203,42241
2,21494,Senior / Quantity Surveyor (C&S/Tender/Project),"Responsible for payment/progress claims, variation orders, budgets & cost control and settlement of final account as well as maintaining project documentations. Ensure project meets all legal and quality assurance requirements. Site visits, risk assessments and projections. Requirements: Min Diploma or Degree in Quantity Surveying or relevant field. Minimum 1 year of working experience in holding similar appointment. Experience in Civil / Construction projects is an advantage. Interested candidates who wish to apply for the advertised position, please email us an updated copy of your resume. Email Address: eng@talenttradersg com. Registration Number: R1981808. EA License Number: 13C6305. For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us.",2,21494,oba': [1.0,21421, 6.051824e-26,21414,21499,21651
3,12133,Compliance Manager [FinTech / Risk Management / Finance Industry] 5859,"Manage compliance risk strategies, policies and frameworks (including Enterprise Wide Risk Assessment) Monitor and assess compliance with laws, regulations and policies (including Payment Services Act, Securities & Future Act, Personal Data Protection Act, Guidelines to Outsourcing, Guidelines to Business Continuity Management, Guidelines to Technology Risk Management etc and the similar types of regulation in Indonesia and the S.A region) Provide inputs to CEO and senior management team on licensing strategy. Oversee compliance reviews and investigations. Implementation of compliance controls and risk management activities. Manage regulatory reporting (including STRs, Payment Services regulatory returns, and PDPA related reporting, and other similar reporting for Indonesia and S.A region) Internal compliance advisory to business teams and Management team. Reporting to Management team on all compliance & regulatory matters. Carry out awareness briefing and staff training on regulatory requirements, company policies and procedures. Liaison with regulators, auditors and law enforcement. Talent Management for compliance team. Licensing success in Singapore and new markets that the company is looking to expand into. Implementation of compliance controls and risk management activities that are related to the Payment Services Act, Securities and Futures Act, Personal Data Protection Act, and other equivalent laws and regulations in other markets that the company is looking to expand into. Partner business and product functions to provide strategic inputs and advice on how business activities may be carried out within permissible regulatory requirements. Where necessary, to propose and pursue suitable licensing arrangements which allow delivery of the intended business activities or value proposition.",3,24132,[0.9326848,12133, 0.0351297,12113,24212,24112
4,21422,Building and Construction Site Engineer,"Supervise and coordinate the activities of site contractors. Monitor job progress and ensure that civil contracted works meets all practical, commercial, requirements of productivity, quality and contract target completions. Ensure all Structural work is carried out within established budgets and schedules. Ensure all design work conforms to the codes and standards used by the client, or to agreed industry standards. Implement and oversee site projects assigned to ensure smooth project execution. Manage internal and external contractors well to ensure quality of work and scope of work is within specifications.",4,21421,[0.5273965,21422, 0.42438728,71000,31001,13230
5,25121,Senior Software Engineer,"3-5 years of relevant industry experience. Excellent Programming Proficiency in one or more of the following languages: Python, JavaScript (on NodeJS), Java, GO. Hands-On experience in building solutions involving NLP, Computer Vision, Neural Networks, OCR, and Rule-based Data Extractions. Hands-On experience in leveraging one or more of the following Frameworks/Libraries. TensorFlow, Keras, Caffe, PyTorch, Theano, scikit-learn, OpenCV, OpenNLP, Spacy. Hands-On experience in leveraging one or more of the following Middleware & Back-Ends. SpringBoot, NodeJS, Django, Flask, Redis, RabbitMQ. Hands-On experience in leveraging one or more of the following Databases. MySQL, SQLite, MongoDB, PostgreSQL. Hands-On experience or familiarity with one or more of the following frontend frameworks. Angular, React, VueJS. Ability to analyze complex problems, execute rapid POCs and associated implementations. Familiar with various design and architectural patterns and understanding of fundamental design principles for building a scalable application. Effective communication and problem-solving skills. Ability to continually learn and keep current with technology trends and best practices.",5,25121,[0.9999981,25122, 1.902869e-06,25190,25151,25113
6,34222,Martial Arts Instructor (Brazilian Jiu-Jitsu),"Responsibilities: Create safe and holistic programs that teach all aspects of Brazilian Jiu-Jitsu. Conduct group classes and private training sessions. Plan, develop and address the needs and fitness objectives of all students. Motivate and inspire students to achieve their fitness and martial arts goals. Assume responsibility for the health and safety of students, and teach safe training habits. Any other tasks as assigned by the Company.",6,34223,[0.9798338,34221, 0.012293203,34222,32551,34210
7,36910,Primary Level English Tutor,Full time English Language Teacher. Job Description. At least 1 FULL year of teaching OR tutoring experience. Good University Degree or NIE Trained. Required language(s): English. Minimum 2 years' experience required. Ability to create lesson plans and materials. Great interpersonal skills. Caring teacher qualities. Great speaking and writing skills. Great grammar knowledge.,7,36910,oba': [1.0,53120, 1.875684e-18,36100,36202,26431
8,24213,Senior Project Manager ,"Facilitate the installation, servicing and maintenance of M&E System. Coordinate, supervise and monitor the progress of project works on site. Ensure all preventive maintenance works to be carried out according to maintenance schedules and procedures. Electrical drawing modification as per site condition. Ensure that all projects are delivered on-time, within scope and within budget. Manage the relationship with the client and all stakeholders. Master Degree in Engineering/Science. BCA Registered Energy Auditor Certification. Proficiency in MS office, knowledge in AutoCAD is an added advantage.",8,24213,oba': [1.0,24212, 6.315513e-17,13230,24211,13302
9,12222,Marketing Manager - Performance & Growth,"Own and manage.B2B and B2C marketing campaigns from start to finish includes but not limited to campaign planning and execution of online lead generation and customer acquisition across multiple paid channels such as Facebook, Google and LinkedIn,continuously optimising to bring down cost per customer acquired. Use your knowledge of the customer to develop ad assets that communicate product value. Set up of campaigns including running regular reports, analysis and optimisation based on cost and.ROI, scaling based on performance. Improve site traffic conversion through experimentation of customised landing pages. Nurture leads and increase customer activation rate through marketing automation. Closely collaborate with cross-functional teams such as sales, product,bizops,compliance etc to achieve your goals. Maximise customer lifetime value by planning and delivering CRM strategies based on customer segmentation to encourage customer retention and loyalty, leading to growth of average volume per user. Brand guardian ensuring consistent look and feel / tone of voice across all comms and business functions.",9,12222,oba': [1.0,12221, 1.7541698e-09,12215,12212,24314
